flight_id,flight_number,airline,origin_airport_id,destination_airport_id,flight_date,departure_time,arrival_time,aircraft_type
F0318,BA6475,British Airways,A010,A039,2025-09-30,07:45,18:22,Boeing 787-9
F0319,UA979,United Airlines,A050,A018,2025-09-11,23:25,08:57,Airbus A321
F0320,TK6599,Turkish Airlines,A030,A010,2025-09-14,19:45,07:04,Boeing 737-800
F0322,UA1304,United Airlines,A075,A049,2025-09-06,09:15,20:48,Airbus A321
F0323,LH1845,Lufthansa,A020,A049,2025-09-09,10:25,18:03,Airbus A321
F0324,AC1530,Air Canada,A040,A057,2025-09-01,03:10,08:46,Airbus A330
F0325,IB530,Iberia,A058,A072,2025-09-14,13:05,22:49,Airbus A321
F0326,CA302,Air China,A071,A012,2025-09-12,10:30,21:42,Airbus A380
F0327,IB2878,Iberia,A050,A011,2025-09-14,18:40,23:48,Boeing 737 MAX 8
F0328,KL1136,KLM,A018,A035,2025-09-06,15:10,20:44,Airbus A330
F0329,KL4223,KLM,A036,A054,2025-09-14,02:25,11:40,Airbus A350
F0330,CA2319,Air China,A064,A077,2025-09-24,14:05,18:25,Airbus A380
F0331,CA5584,Air China,A051,A043,2025-09-01,10:35,18:04,Boeing 737 MAX 8
F0332,KL3390,KLM,A077,A018,2025-09-27,19:55,02:23,Boeing 777-300ER
F0333,TK8144,Turkish Airlines,A023,A051,2025-09-11,23:55,05:53,Embraer E190
F0334,QF1965,Qantas,A032,A042,2025-09-26,12:25,18:12,Embraer E190
F0335,BA7663,British Airways,A076,A070,2025-09-07,17:00,05:38,Airbus A350
F0336,CX5061,Cathay Pacific,A038,A009,2025-09-15,15:10,03:39,Airbus A350
F0337,QF7951,Qantas,A020,A055,2025-09-09,14:45,17:00,Embraer E190
F0338,CX8896,Cathay Pacific,A069,A065,2025-09-13,01:25,11:41,Embraer E190
F0339,QR2825,Qatar Airways,A011,A014,2025-09-21,21:25,09:38,Embraer E190
F0340,TK1715,Turkish Airlines,A073,A052,2025-09-02,02:50,06:15,Airbus A380
F0341,IB3721,Iberia,A066,A067,2025-09-08,22:45,09:39,Boeing 777-300ER
F0342,LX5751,Swiss International Air Lines,A051,A060,2025-09-12,16:10,04:57,Airbus A320
F0343,CX2421,Cathay Pacific,A014,A038,2025-09-16,03:55,06:22,Boeing 737-800
F0344,EK7901,Emirates,A044,A059,2025-09-10,15:25,01:18,Airbus A321
F0345,UA1985,United Airlines,A058,A041,2025-09-15,01:55,08:02,Airbus A320
F0346,BA9142,British Airways,A044,A014,2025-09-28,16:10,21:19,Airbus A330
F0347,NH3122,ANA,A072,A055,2025-09-11,12:50,17:47,Airbus A330
F0348,AF9802,Air France,A056,A051,2025-09-21,06:35,18:03,Boeing 737 MAX 8
F0349,EK9559,Emirates,A001,A028,2025-09-13,22:05,03:50,Airbus A321
F0350,AC1967,Air Canada,A069,A024,2025-09-26,06:35,13:08,Airbus A380
F0351,TK6531,Turkish Airlines,A063,A068,2025-09-22,12:45,23:56,Embraer E190
F0352,NH4973,ANA,A045,A046,2025-09-04,05:50,17:22,Embraer E190
F0353,TK2016,Turkish Airlines,A011,A018,2025-09-19,07:20,10:20,Airbus A330
F0354,QF9517,Qantas,A019,A066,2025-09-12,19:10,03:18,Boeing 737 MAX 8
F0355,IB9191,Iberia,A024,A063,2025-09-14,20:10,09:00,Airbus A330
F0356,BA978,British Airways,A037,A018,2025-09-16,14:45,21:07,Boeing 737-800
F0357,EK8209,Emirates,A063,A018,2025-09-01,17:40,01:13,Boeing 737 MAX 8
F0358,NH9363,ANA,A063,A054,2025-09-22,05:05,14:25,Airbus A320
F0359,DL4829,Delta Air Lines,A029,A038,2025-09-26,07:40,13:21,Airbus A330
F0360,JL9483,Japan Airlines,A059,A073,2025-09-25,16:05,02:27,Airbus A321
F0361,IB9051,Iberia,A070,A047,2025-09-09,23:35,01:17,Airbus A350
F0362,KL5811,KLM,A014,A032,2025-09-14,14:20,15:53,Airbus A321
F0363,EK7115,Emirates,A016,A031,2025-09-15,22:25,09:27,Airbus A330
F0364,EK8820,Emirates,A018,A027,2025-09-20,18:25,20:25,Airbus A380
F0366,LH2178,Lufthansa,A066,A013,2025-09-28,01:20,09:21,Airbus A330
F0367,QR2429,Qatar Airways,A019,A042,2025-09-08,12:35,01:07,Embraer E190
F0368,QF1625,Qantas,A035,A054,2025-09-21,02:50,11:32,Boeing 737 MAX 8
F0369,NH140,ANA,A036,A048,2025-09-17,10:45,20:04,Airbus A321
F0370,UA7139,United Airlines,A059,A046,2025-09-24,12:15,22:22,Airbus A350
F0371,KL2239,KLM,A035,A042,2025-09-16,17:45,00:30,Embraer E190
F0372,DL7629,Delta Air Lines,A063,A044,2025-09-28,03:50,05:37,Airbus A320
F0373,NH2261,ANA,A021,A057,2025-09-04,13:15,14:15,Airbus A380
F0374,AC2811,Air Canada,A036,A012,2025-09-10,02:25,07:41,Airbus A320
F0375,CX1659,Cathay Pacific,A040,A030,2025-09-13,02:55,15:06,Airbus A320
F0376,LH7391,Lufthansa,A062,A010,2025-09-07,07:40,18:47,Airbus A320
F0377,CX1260,Cathay Pacific,A044,A016,2025-09-01,04:35,17:25,Airbus A350
F0378,AA2346,American Airlines,A012,A014,2025-09-13,11:20,17:40,Boeing 737 MAX 8
F0379,UA2788,United Airlines,A018,A019,2025-09-25,18:00,04:03,Boeing 777-300ER
F0380,CX3659,Cathay Pacific,A028,A020,2025-09-12,21:35,09:05,Airbus A321
F0381,AA5859,American Airlines,A013,A018,2025-09-29,23:30,10:33,Boeing 737 MAX 8
F0382,SQ9166,Singapore Airlines,A018,A032,2025-09-11,02:15,14:15,Embraer E190
F0383,AF8582,Air France,A078,A037,2025-09-20,09:15,21:29,Embraer E190
F0384,KL8208,KLM,A025,A051,2025-09-17,01:15,13:16,Boeing 737 MAX 8
F0385,CA6016,Air China,A031,A064,2025-09-04,16:00,18:12,Boeing 737-800
F0386,CX2930,Cathay Pacific,A050,A073,2025-09-05,17:50,01:04,Boeing 777-300ER
F0387,LX3634,Swiss International Air Lines,A010,A003,2025-09-25,00:20,02:29,Airbus A320
F0388,EY8309,Etihad Airways,A008,A051,2025-09-30,20:55,02:48,Boeing 737 MAX 8
F0389,IB4646,Iberia,A052,A011,2025-09-14,19:10,05:20,Airbus A321
F0390,EK6501,Emirates,A011,A066,2025-09-10,17:25,21:04,Embraer E190
F0391,CX1512,Cathay Pacific,A009,A040,2025-09-21,01:15,06:19,Boeing 737 MAX 8
F0392,CA2977,Air China,A059,A079,2025-09-04,09:50,11:46,Airbus A321
F0393,BA8574,British Airways,A018,A002,2025-09-01,11:40,21:08,Airbus A380
F0394,SQ7134,Singapore Airlines,A048,A017,2025-09-06,00:25,03:25,Airbus A380
F0395,LX7557,Swiss International Air Lines,A009,A034,2025-09-17,02:35,14:17,Boeing 787-9
F0396,LX4279,Swiss International Air Lines,A008,A064,2025-09-12,11:10,15:00,Airbus A321
F0397,QR301,Qatar Airways,A074,A015,2025-09-29,00:00,09:41,Airbus A350
F0398,QF9158,Qantas,A061,A047,2025-09-02,05:00,08:33,Boeing 737 MAX 8
F0399,CX9464,Cathay Pacific,A042,A032,2025-09-08,08:05,14:32,Boeing 737-800
F0400,BA6668,British Airways,A065,A007,2025-09-04,16:00,20:48,Airbus A321
F0401,KL7583,KLM,A060,A037,2025-09-29,02:40,09:15,Airbus A320
F0402,LX4074,Swiss International Air Lines,A026,A038,2025-09-12,23:45,05:56,Boeing 777-300ER
F0403,EK204,Emirates,A076,A064,2025-09-12,07:10,17:29,Boeing 737 MAX 8
F0404,AC5588,Air Canada,A030,A070,2025-09-01,22:00,09:51,Boeing 737 MAX 8
F0405,AA6978,American Airlines,A049,A040,2025-09-25,16:15,20:45,Boeing 777-300ER
F0406,UA6867,United Airlines,A019,A036,2025-09-02,07:40,09:24,Boeing 737-800
F0407,AA6561,American Airlines,A011,A075,2025-09-15,04:50,14:27,Airbus A321
F0409,TK3927,Turkish Airlines,A041,A051,2025-09-28,14:20,20:45,Airbus A321
F0410,AA7465,American Airlines,A018,A075,2025-09-07,03:10,06:49,Boeing 777-300ER
F0411,IB5151,Iberia,A053,A016,2025-09-11,06:35,13:41,Boeing 777-300ER
F0412,BA760,British Airways,A016,A012,2025-09-09,09:55,22:37,Airbus A350
F0413,UA8512,United Airlines,A042,A019,2025-09-27,11:30,16:44,Airbus A320
F0414,BA9208,British Airways,A039,A034,2025-09-22,12:35,14:06,Boeing 787-9
F0415,AA1110,American Airlines,A013,A060,2025-09-08,03:00,06:23,Airbus A350
F0416,AC1476,Air Canada,A026,A052,2025-09-05,15:05,21:18,Embraer E190
F0418,DL9502,Delta Air Lines,A043,A016,2025-09-03,01:10,10:02,Boeing 737 MAX 8
F0419,AF2931,Air France,A051,A064,2025-09-27,21:30,05:01,Boeing 737-800
F0420,SQ4126,Singapore Airlines,A024,A036,2025-09-07,04:00,12:36,Airbus A380
F0421,SQ8107,Singapore Airlines,A053,A001,2025-09-10,06:40,19:26,Boeing 787-9
F0422,AA2353,American Airlines,A018,A062,2025-09-13,14:50,20:30,Airbus A380
F0423,IB2967,Iberia,A012,A077,2025-09-02,22:20,05:50,Airbus A380
F0424,TK6483,Turkish Airlines,A072,A033,2025-09-06,03:25,08:24,Airbus A350
F0425,UA1616,United Airlines,A068,A035,2025-09-06,00:25,10:10,Airbus A380
F0426,KL3562,KLM,A021,A073,2025-09-13,21:00,23:12,Boeing 737 MAX 8
F0427,LX8690,Swiss International Air Lines,A002,A050,2025-09-14,04:55,09:42,Embraer E190
F0428,UA8038,United Airlines,A012,A059,2025-09-07,01:15,05:29,Airbus A320
F0429,CX9142,Cathay Pacific,A068,A034,2025-09-07,18:00,02:49,Boeing 777-300ER
F0430,EK9457,Emirates,A030,A061,2025-09-17,03:30,15:22,Airbus A330
F0431,LH619,Lufthansa,A054,A045,2025-09-11,01:05,03:42,Boeing 777-300ER
F0432,QR8494,Qatar Airways,A038,A025,2025-09-12,21:35,04:34,Airbus A380
F0433,LX9872,Swiss International Air Lines,A058,A024,2025-09-11,17:40,23:17,Boeing 787-9
F0434,LX6038,Swiss International Air Lines,A073,A066,2025-09-11,17:15,01:38,Airbus A380
F0435,TK3679,Turkish Airlines,A072,A080,2025-09-16,11:10,23:13,Airbus A320
F0436,LH1427,Lufthansa,A037,A004,2025-09-13,17:20,02:15,Embraer E190
F0437,AC3017,Air Canada,A062,A064,2025-09-19,06:40,09:08,Airbus A380
F0438,JL4509,Japan Airlines,A039,A066,2025-09-21,04:30,12:54,Airbus A380
F0439,AF6793,Air France,A068,A033,2025-09-23,14:40,18:13,Boeing 787-9
F0440,AF4111,Air France,A033,A073,2025-09-29,13:00,20:43,Airbus A321
F0441,AA3444,American Airlines,A053,A035,2025-09-27,14:05,02:35,Airbus A380
F0442,EK3887,Emirates,A007,A067,2025-09-29,10:50,14:20,Airbus A321
F0443,AA3372,American Airlines,A030,A069,2025-09-21,07:20,11:20,Airbus A321
F0444,UA628,United Airlines,A046,A017,2025-09-30,19:20,00:18,Boeing 787-9
F0445,QF4312,Qantas,A016,A021,2025-09-27,11:05,14:23,Airbus A320
F0446,AA7916,American Airlines,A030,A007,2025-09-21,18:05,20:57,Airbus A321
F0447,AF5531,Air France,A022,A059,2025-09-26,03:10,06:52,Boeing 787-9
F0448,UA5495,United Airlines,A007,A001,2025-09-22,18:10,19:57,Boeing 787-9
F0449,LX5284,Swiss International Air Lines,A030,A074,2025-09-27,01:50,09:10,Airbus A320
F0450,BA7870,British Airways,A029,A072,2025-09-18,16:50,01:42,Airbus A380
F0451,JL8816,Japan Airlines,A055,A007,2025-09-20,11:20,20:37,Airbus A380
F0452,EY6199,Etihad Airways,A061,A020,2025-09-26,08:55,11:03,Airbus A350
F0453,EK8509,Emirates,A042,A071,2025-09-26,18:05,19:59,Airbus A330
F0454,NH7569,ANA,A066,A074,2025-09-19,04:40,08:20,Airbus A350
F0455,UA2840,United Airlines,A079,A022,2025-09-24,05:45,09:04,Boeing 787-9
F0456,DL1225,Delta Air Lines,A024,A037,2025-09-27,02:00,11:20,Boeing 737 MAX 8
F0457,BA4711,British Airways,A032,A076,2025-09-24,19:25,06:17,Boeing 787-9
F0458,AF9484,Air France,A029,A023,2025-09-20,05:20,10:02,Boeing 787-9
F0459,EY3332,Etihad Airways,A051,A025,2025-09-20,11:55,18:41,Boeing 787-9
F0460,UA5902,United Airlines,A076,A011,2025-09-19,13:35,22:29,Airbus A330
F0461,EY6459,Etihad Airways,A044,A049,2025-09-24,08:40,17:57,Boeing 787-9
F0462,TK3381,Turkish Airlines,A068,A033,2025-09-19,22:35,10:15,Airbus A350
F0463,CX6541,Cathay Pacific,A058,A057,2025-09-25,18:55,06:17,Airbus A350
F0464,CA195,Air China,A075,A037,2025-09-22,05:55,12:25,Boeing 777-300ER
F0465,AF2559,Air France,A019,A055,2025-09-28,10:35,13:23,Airbus A350
F0466,AF609,Air France,A075,A066,2025-09-22,07:20,10:25,Airbus A321
F0467,BA6774,British Airways,A048,A014,2025-09-20,21:05,23:08,Airbus A380
F0468,SQ8283,Singapore Airlines,A012,A026,2025-09-25,21:35,03:47,Airbus A321
F0469,SQ1793,Singapore Airlines,A007,A053,2025-09-24,14:20,16:05,Boeing 737-800
F0470,AC2904,Air Canada,A030,A040,2025-09-29,22:30,10:50,Boeing 737-800
F0471,DL5257,Delta Air Lines,A025,A070,2025-09-20,21:40,09:49,Airbus A321
F0472,EK1130,Emirates,A049,A060,2025-09-21,04:55,09:09,Airbus A350
F0473,SQ6314,Singapore Airlines,A066,A076,2025-09-22,08:15,19:09,Airbus A350
F0474,KL4898,KLM,A045,A075,2025-09-28,20:50,00:00,Airbus A321
F0475,IB8620,Iberia,A069,A026,2025-09-30,08:15,11:08,Airbus A380
F0476,LX9503,Swiss International Air Lines,A036,A001,2025-09-27,01:05,09:15,Boeing 737 MAX 8
F0477,IB7533,Iberia,A026,A016,2025-09-26,12:20,17:24,Airbus A380
F0478,AA9261,American Airlines,A053,A023,2025-10-01,17:10,04:35,Boeing 777-300ER
F0479,KL2094,KLM,A076,A077,2025-09-21,20:45,22:10,Airbus A320
F0480,CX3501,Cathay Pacific,A014,A043,2025-09-26,07:20,10:11,Airbus A330
F0481,DL2593,Delta Air Lines,A066,A070,2025-09-25,04:15,08:46,Boeing 737-800
F0482,TK1231,Turkish Airlines,A004,A054,2025-10-01,05:00,09:07,Boeing 787-9
F0483,EY6036,Etihad Airways,A073,A022,2025-09-30,02:05,05:07,Boeing 737 MAX 8
F0484,EY2386,Etihad Airways,A056,A054,2025-09-27,01:45,06:34,Boeing 737-800
